id;wkt
50;POLYGON((-688287.1463414633 -1126046.1219512196, -672966.2574790837 -1113190.3697574888, -672744.2271123239 -1113459.7141302228, -688287.1463414633 -1126046.1219512196))
51;POLYGON((-688287.1463414633 -1126046.1219512196, -672744.2271123239 -1113459.7141302228, -672526.9312693289 -1113732.8924447065, -688287.1463414633 -1126046.1219512196))
52;POLYGON((-688287.1463414633 -1126046.1219512196, -672526.9312693289 -1113732.8924447065, -672314.4361405175 -1114009.8214881786, -688287.1463414633 -1126046.1219512196))
53;POLYGON((-688287.1463414633 -1126046.1219512196, -672314.4361405175 -1114009.8214881786, -672106.8064539643 -1114290.41690537, -688287.1463414633 -1126046.1219512196))
54;POLYGON((-688287.1463414633 -1126046.1219512196, -672106.8064539643 -1114290.41690537, -671904.1054556834 -1114574.5932241988, -688287.1463414633 -1126046.1219512196))
55;POLYGON((-688287.1463414633 -1126046.1219512196, -671904.1054556834 -1114574.5932241988, -671706.3948903625 -1114862.2638818047, -688287.1463414633 -1126046.1219512196))
56;POLYGON((-688287.1463414633 -1126046.1219512196, -671706.3948903625 -1114862.2638818047, -671513.7349825548 -1115153.341250919, -688287.1463414633 -1126046.1219512196))
57;POLYGON((-688287.1463414633 -1126046.1219512196, -671513.7349825548 -1115153.341250919, -671326.1844183347 -1115447.7366665555, -688287.1463414633 -1126046.1219512196))
58;POLYGON((-688287.1463414633 -1126046.1219512196, -671326.1844183347 -1115447.7366665555, -671143.800327421 -1115745.3604530185, -688287.1463414633 -1126046.1219512196))
59;POLYGON((-688287.1463414633 -1126046.1219512196, -671143.800327421 -1115745.3604530185, -670966.6382657746 -1116046.1219512196, -688287.1463414633 -1126046.1219512196))
60;POLYGON((-688287.1463414633 -1126046.1219512196, -670966.6382657746 -1116046.1219512196, -670794.7521986754 -1116349.9295462929, -688287.1463414633 -1126046.1219512196))
61;POLYGON((-688287.1463414633 -1126046.1219512196, -670794.7521986754 -1116349.9295462929, -670628.1944842847 -1116656.6906955019, -688287.1463414633 -1126046.1219512196))
62;POLYGON((-688287.1463414633 -1126046.1219512196, -670628.1944842847 -1116656.6906955019, -670467.015857696 -1116966.3119564287, -688287.1463414633 -1126046.1219512196))
63;POLYGON((-688287.1463414633 -1126046.1219512196, -670467.015857696 -1116966.3119564287, -670311.26541548 -1117278.699015438, -688287.1463414633 -1126046.1219512196))
64;POLYGON((-688287.1463414633 -1126046.1219512196, -670311.26541548 -1117278.699015438, -670160.9906007303 -1117593.7567164057, -688287.1463414633 -1126046.1219512196))
65;POLYGON((-688287.1463414633 -1126046.1219512196, -670160.9906007303 -1117593.7567164057, -670016.2371886113 -1117911.3890897036, -688287.1463414633 -1126046.1219512196))
66;POLYGON((-688287.1463414633 -1126046.1219512196, -670016.2371886113 -1117911.3890897036, -669877.0492724145 -1118231.4993814342, -688287.1463414633 -1126046.1219512196))
67;POLYGON((-688287.1463414633 -1126046.1219512196, -669877.0492724145 -1118231.4993814342, -669743.4692501276 -1118553.9900829014, -688287.1463414633 -1126046.1219512196))
68;POLYGON((-688287.1463414633 -1126046.1219512196, -669743.4692501276 -1118553.9900829014, -669615.5378115192 -1118878.7629603136, -688287.1463414633 -1126046.1219512196))
69;POLYGON((-688287.1463414633 -1126046.1219512196, -669615.5378115192 -1118878.7629603136, -669493.2939257452 -1119205.7190847062, -688287.1463414633 -1126046.1219512196))
