-642761;-1141685;108014;Oslavička;3714;Žďár nad Sázavou, Oslavička;VY
-620419;-1116063;120731;Písečné;3714;Žďár nad Sázavou, Písečné;VY
-856620;-1080222;147346;Semněvice;3401;Domažlice, Semněvice;PL
-674865;-1001027;142069;Křečovice 2. díl;3608;Semily, Rovensko pod Troskami;LB
-641007;-1171008;85898;Litovany;3710;Třebíč, Litovany;VY
-612943;-1030532;150401;Slavoňov;3605;Náchod, Slavoňov;KH
-669534;-1154342;91871;Markvartice;3707;Jihlava, Markvartice;VY
-522422;-1200931;156116;Strání;3711;Uherské Hradiště, Strání;ZL
-701060;-1169112;154563;Podlesí;3303;Jindřichův Hradec, Staré Město pod Landštejnem;JC
-706988;-979970;156469;Stráž pod Ralskem;3501;Česká Lípa, Stráž pod Ralskem;LB
-668112;-1086823;181935;Hostovlice;3601;Havlíčkův Brod, Vilémov;VY
-510694;-1095855;98604;Moravice;3806;Opava, Moravice;MS
-513381;-1094840;106381;Nové Lublice;3806;Opava, Nové Lublice;MS
-781831;-1133614;96938;Mladějovice;3307;Strakonice, Čejetice;JC
-806884;-1101150;97977;Čmelíny;3406;Plzeň-jih, Čmelíny;PL
-527473;-1165025;36021;Tečovice;3705;Zlín, Tečovice;ZL
-775453;-1164357;105473;Jaronín;3302;Český Krumlov, Brloh;JC
-709586;-1084439;136433;Psáře;3201;Benešov, Psáře;ST
-730994;-1138331;323314;U Svaté Anny;3308;Tábor, Přehořov;JC
-683671;-1110823;49468;V lukách;3304;Pelhřimov, Humpolec;VY
-771624;-1013425;165531;Telce;3507;Louny, Peruc;US
-549620;-1111810;163431;Štěpánov;3805;Olomouc, Štěpánov;OL
-844333;-1097854;52108;Chocomyšl;3401;Domažlice, Chocomyšl;PL
-768021;-1163583;56740;Čakov;3301;České Budějovice, Čakov;JC
-709276;-1090287;139572;Rataje;3201;Benešov, Rataje;ST
-706611;-1016637;120961;Písková Lhota;3207;Mladá Boleslav, Písková Lhota;ST
-719480;-1033123;148369;Otradovice;3207;Mladá Boleslav, Skorkov;ST
-694418;-993103;147648;Sezemice;3207;Mladá Boleslav, Sezemice;ST
-685548;-1176977;120723;Písečné;3303;Jindřichův Hradec, Písečné;JC
-862457;-1062750;77607;Kurojedy;3410;Tachov, Bor;PL
-762741;-1010903;144908;Ředhošť;3506;Litoměřice, Mšené-lázně;US
-537528;-1182147;320951;Průmyslová;3711;Uherské Hradiště, Uherské Hradiště;ZL
-614759;-1002604;166383;Střemenské Podhradí;3605;Náchod, Teplice nad Metují;KH
-819515;-1032365;167088;Tis u Blatna;3407;Plzeň-sever, Tis u Blatna;PL
-475103;-1151572;178918;Jezerné;3810;Vsetín, Velké Karlovice;ZL
-594420;-1126132;160946;Svitávka;3701;Blansko, Svitávka;JM
-585625;-1122083;162183;Šebetov;3701;Blansko, Šebetov;JM
-741511;-1128422;148733;Skrýchov u Malšic;3308;Tábor, Skrýchov u Malšic;JC
-654638;-1060637;79073;Lány na Důlku;3606;Pardubice, Pardubice;PA
-617377;-1048756;83593;Lično;3607;Rychnov nad Kněžnou, Lično;KH
-513603;-1126938;178187;Velká;3808;Přerov, Hranice;OL
-605517;-1099474;179981;Vendolí;3609;Svitavy, Vendolí;PA
-682265;-1122308;33707;Dudín;3707;Jihlava, Dudín;VY
-721827;-1145361;66095;Klenov;3303;Jindřichův Hradec, Pluhův Žďár;JC
-721490;-1142849;121959;Pluhův Žďár;3303;Jindřichův Hradec, Pluhův Žďár;JC
-723433;-1144073;124923;Pohoří;3303;Jindřichův Hradec, Pluhův Žďár;JC
-744814;-1041344;129526;Úřednická kolonie;3100;Hlavní město Praha, Praha;ST
-653209;-1142942;18911;Čechtín;3710;Třebíč, Čechtín;VY
-733554;-1116153;19097;Stoklasná Lhota;3308;Tábor, Tábor;JC
-800020;-1014766;40916;Holedeč;3507;Louny, Holedeč;US
-813494;-1095914;92746;Měcholupy;3406;Plzeň-jih, Měcholupy;PL
-745551;-993936;125181;Hrušovany;3506;Litoměřice, Polepy;US
-619723;-1058926;19798;Velká Čermná;3607;Rychnov nad Kněžnou, Čermná nad Orlicí;KH
-858020;-1058509;20427;Lažany;3410;Tachov, Černošín;PL
-697760;-1082253;23388;Čenovice;3205;Kutná Hora, Čestín;ST
-594333;-1085511;24686;Damníkov;3611;Ústí nad Orlicí, Damníkov;PA
-671511;-1141318;159000;Prostředkovice;3707;Jihlava, Suchá;VY
-601969;-1181654;194123;Žabčice;3703;Brno-venkov, Žabčice;JM
-558926;-1172647;69655;Blišice;3708;Kroměříž, Koryčany;ZL
-568897;-1154696;188573;Vyškov-střed;3712;Vyškov, Vyškov;JM
-733593;-1003872;196339;Tupadly;3206;Mělník, Tupadly;ST
-511524;-1074571;16501;Býkov;3801;Bruntál, Býkov-Láryšov;MS
-759087;-1061479;145378;Řevnice;3210;Praha-západ, Řevnice;ST
